i,x,y,voltage,flow,cover dropped,index,drop stage
1,597.816000,590.868000,2.213041e-01,0.000279, 444.779268,0.025712,16646,1 of 10 
2,595.836000,590.868000,2.211215e-01,0.000292, 444.779268,0.021120,16645,1 of 10 
3,573.066000,590.868000,1.985345e-01,0.030902, 444.779268,0.112029,16644,1 of 10 
4,520.596000,590.868000,1.336694e-01,0.018858, 444.779268,0.011019,16591,1 of 10 
5,499.806000,590.868000,1.102402e-01,0.008632, 444.779268,0.015611,16570,1 of 10 
6,498.816000,590.868000,1.096326e-01,0.022773, 444.779268,0.044077,16569,1 of 10 
7,496.836000,590.868000,1.080124e-01,0.034813, 444.779268,0.069789,16567,1 of 10 
8,493.866000,590.868000,1.025156e-01,0.009387, 444.779268,0.011938,16564,1 of 10 
9,488.916000,590.868000,8.335385e-02,0.021844, 444.779268,0.046832,16562,1 of 10 
10,487.926000,590.868000,8.147357e-02,0.021112, 444.779268,0.055096,16561,1 of 10 
11,483.966000,590.868000,7.800738e-02,0.016471, 444.779268,0.073462,16557,1 of 10 
12,482.976000,590.868000,7.745339e-02,0.003854, 444.779268,0.018365,16556,1 of 10 
13,479.016000,590.868000,7.593899e-02,0.001180, 444.779268,0.005510,16552,1 of 10 
14,478.026000,590.868000,7.561707e-02,0.007371, 444.779268,0.033976,16551,1 of 10 
15,477.036000,590.868000,7.530934e-02,0.019294, 444.779268,0.087236,16550,1 of 10 
16,474.066000,590.868000,7.445215e-02,0.008462, 444.779268,0.034894,16547,1 of 10 
17,458.226000,590.868000,7.235028e-02,0.013028, 444.779268,0.111111,16531,1 of 10 
18,450.306000,590.868000,7.166003e-02,0.025662, 444.779268,0.278237,16523,1 of 10 
19,449.316000,590.868000,7.156046e-02,0.004540, 444.779268,0.051423,16522,1 of 10 
20,598.806000,591.858000,2.214712e-01,0.000385, 444.779268,0.027548,16521,1 of 10 
21,597.816000,591.858000,2.213477e-01,0.000122, 444.779268,0.008264,16520,1 of 10 
22,596.826000,591.858000,2.212375e-01,0.001694, 444.779268,0.118457,16519,1 of 10 
23,573.066000,591.858000,1.987013e-01,0.017187, 444.779268,0.045914,16518,1 of 10 
24,498.816000,591.858000,1.094142e-01,0.031495, 444.779268,0.047750,16443,1 of 10 
25,493.866000,591.858000,1.020820e-01,0.019742, 444.779268,0.019284,16438,1 of 10 
26,490.896000,591.858000,8.879052e-02,0.025319, 444.779268,0.027548,16437,1 of 10 
27,488.916000,591.858000,8.319979e-02,0.020281, 444.779268,0.036731,16435,1 of 10 
28,487.926000,591.858000,8.144214e-02,0.021030, 444.779268,0.045914,16434,1 of 10 
29,483.966000,591.858000,7.799762e-02,0.010519, 444.779268,0.039486,16430,1 of 10 
30,449.316000,591.858000,7.151468e-02,0.027690, 444.779268,0.232323,16395,1 of 10 
31,448.326000,591.858000,7.139260e-02,0.023983, 444.779268,0.213039,16394,1 of 10 
32,598.806000,592.848000,2.215441e-01,0.000981, 444.779268,0.056015,16393,1 of 10 
33,597.816000,592.848000,2.214093e-01,0.000724, 444.779268,0.038567,16392,1 of 10 
34,576.036000,592.848000,2.004746e-01,0.006245, 444.779268,0.013774,16391,1 of 10 
35,575.046000,592.848000,1.997932e-01,0.007065, 444.779268,0.015611,16390,1 of 10 
36,488.916000,592.848000,8.300909e-02,0.033670, 444.779268,0.053260,16306,1 of 10 
37,486.936000,592.848000,8.017889e-02,0.023976, 444.779268,0.053260,16305,1 of 10 
38,485.946000,592.848000,7.926430e-02,0.015623, 444.779268,0.041322,16304,1 of 10 
39,484.956000,592.848000,7.855995e-02,0.005264, 444.779268,0.015611,16303,1 of 10 
40,483.966000,592.848000,7.799353e-02,0.005875, 444.779268,0.019284,16302,1 of 10 
41,480.996000,592.848000,7.673075e-02,0.015155, 444.779268,0.049587,16299,1 of 10 
42,448.326000,592.848000,7.132668e-02,0.025288, 444.779268,0.170799,16267,1 of 10 
43,436.446000,592.848000,6.947696e-02,0.000047, 444.779268,0.004591,16266,1 of 10 
44,435.456000,592.848000,6.946696e-02,0.004250, 444.779268,0.595960,16265,1 of 10 
45,598.806000,593.838000,2.216151e-01,0.000178, 444.779268,0.008264,16264,1 of 10 
46,597.816000,593.838000,2.214695e-01,0.003745, 444.779268,0.161616,16263,1 of 10 
47,596.826000,593.838000,2.212861e-01,0.000453, 444.779268,0.017447,16262,1 of 10 
48,577.026000,593.838000,2.019460e-01,0.010575, 444.779268,0.018365,16261,1 of 10 
49,490.896000,593.838000,8.716631e-02,0.005598, 444.779268,0.004591,16178,1 of 10 
50,486.936000,593.838000,8.015107e-02,0.024961, 444.779268,0.047750,16175,1 of 10 
51,481.986000,593.838000,7.720627e-02,0.028353, 444.779268,0.084481,16171,1 of 10 
52,473.076000,593.838000,7.426763e-02,0.026473, 444.779268,0.066116,16162,1 of 10 
53,445.356000,593.838000,7.067462e-02,0.026783, 444.779268,0.161616,16134,1 of 10 
54,438.426000,593.838000,6.950624e-02,0.000276, 444.779268,0.011019,16133,1 of 10 
55,437.436000,593.838000,6.948292e-02,0.000602, 444.779268,0.033976,16132,1 of 10 
56,436.446000,593.838000,6.946866e-02,0.002884, 444.779268,0.229568,16131,1 of 10 
57,435.456000,593.838000,6.946024e-02,0.009011, 444.779268,0.998163,16130,1 of 10 
