index,x,y,flow
0,4.602060e+02,7.354080e+02,7.245629e-10
1,4.592160e+02,7.344180e+02,2.407145e-10
2,4.602060e+02,7.344180e+02,1.316798e-09
3,4.611960e+02,7.344180e+02,1.309986e-09
4,4.621860e+02,7.344180e+02,1.515623e-09
5,4.631760e+02,7.344180e+02,2.095864e-09
6,4.641660e+02,7.344180e+02,2.630019e-09
7,4.582260e+02,7.334280e+02,1.570720e-10
8,4.592160e+02,7.334280e+02,1.644890e-10
9,4.602060e+02,7.334280e+02,1.365536e-09
10,4.611960e+02,7.334280e+02,1.989562e-09
11,4.621860e+02,7.334280e+02,1.976404e-09
12,4.631760e+02,7.334280e+02,4.046372e-10
13,4.592160e+02,7.324380e+02,1.827948e-09
14,4.602060e+02,7.324380e+02,2.147617e-09
15,4.611960e+02,7.324380e+02,2.364101e-09
16,4.621860e+02,7.324380e+02,2.203833e-09
17,4.592160e+02,7.314480e+02,2.370690e-09
18,4.602060e+02,7.314480e+02,2.823217e-09
19,4.611960e+02,7.314480e+02,2.842268e-09
20,4.621860e+02,7.314480e+02,1.806961e-09
21,4.592160e+02,7.304580e+02,3.930870e-09
22,4.602060e+02,7.304580e+02,3.813904e-09
23,4.611960e+02,7.304580e+02,3.581997e-09
24,4.621860e+02,7.304580e+02,3.123804e-09
25,5.077260e+02,7.304580e+02,3.837988e-09
26,4.592160e+02,7.294680e+02,3.349554e-09
27,4.602060e+02,7.294680e+02,3.005559e-09
28,5.077260e+02,7.294680e+02,4.187279e-09
29,5.087160e+02,7.294680e+02,3.155236e-09
30,5.097060e+02,7.294680e+02,1.648106e-09
31,4.602060e+02,7.284780e+02,3.708579e-09
32,5.087160e+02,7.284780e+02,2.330175e-09
33,5.097060e+02,7.284780e+02,2.666708e-09
34,5.106960e+02,7.284780e+02,1.629768e-09
35,5.087160e+02,7.274880e+02,2.577353e-09
36,5.097060e+02,7.274880e+02,2.519129e-09
37,5.106960e+02,7.274880e+02,2.337891e-09
38,5.116860e+02,7.274880e+02,1.920091e-09
39,5.126760e+02,7.274880e+02,1.254405e-09
40,5.097060e+02,7.264980e+02,2.832609e-09
41,5.106960e+02,7.264980e+02,2.401153e-09
42,5.116860e+02,7.264980e+02,2.063512e-09
43,5.126760e+02,7.264980e+02,1.841010e-09
44,5.136660e+02,7.264980e+02,1.689978e-09
45,5.146560e+02,7.264980e+02,1.611684e-09
46,5.156460e+02,7.264980e+02,1.589536e-09
47,5.166360e+02,7.264980e+02,1.645886e-09
48,5.106960e+02,7.255080e+02,2.395280e-09
49,5.116860e+02,7.255080e+02,2.124233e-09
50,5.126760e+02,7.255080e+02,1.987485e-09
51,5.136660e+02,7.255080e+02,1.908684e-09
52,5.146560e+02,7.255080e+02,1.910097e-09
53,5.156460e+02,7.255080e+02,2.069834e-09
54,5.106960e+02,7.245180e+02,2.407085e-09
55,5.116860e+02,7.245180e+02,2.193835e-09
56,5.126760e+02,7.245180e+02,2.106471e-09
57,5.136660e+02,7.245180e+02,2.112405e-09
58,5.146560e+02,7.245180e+02,2.225696e-09
59,5.156460e+02,7.245180e+02,2.585911e-09
60,5.106960e+02,7.235280e+02,2.494526e-09
61,5.116860e+02,7.235280e+02,2.297104e-09
62,5.126760e+02,7.235280e+02,2.249849e-09
63,5.136660e+02,7.235280e+02,2.340170e-09
64,5.146560e+02,7.235280e+02,2.606216e-09
65,5.156460e+02,7.235280e+02,3.283486e-09
66,5.097060e+02,7.225380e+02,3.516271e-09
67,5.106960e+02,7.225380e+02,2.712740e-09
68,5.116860e+02,7.225380e+02,2.451162e-09
69,5.126760e+02,7.225380e+02,2.435683e-09
70,5.136660e+02,7.225380e+02,2.631224e-09
71,5.146560e+02,7.225380e+02,3.132428e-09
72,5.106960e+02,7.215480e+02,3.021398e-09
73,5.116860e+02,7.215480e+02,2.665049e-09
74,5.126760e+02,7.215480e+02,2.686010e-09
75,5.136660e+02,7.215480e+02,3.051683e-09
76,5.146560e+02,7.215480e+02,3.921077e-09
77,5.106960e+02,7.205580e+02,3.371717e-09
78,5.116860e+02,7.205580e+02,2.975017e-09
79,5.126760e+02,7.205580e+02,3.068283e-09
80,5.116860e+02,7.195680e+02,3.452307e-09
81,4.423860e+02,7.156080e+02,5.555396e-12
82,4.433760e+02,7.156080e+02,5.722128e-12
83,4.423860e+02,7.146180e+02,8.330523e-12
84,4.433760e+02,7.146180e+02,5.162334e-12
85,4.443660e+02,7.146180e+02,2.839521e-11
86,5.403960e+02,7.096680e+02,3.641710e-08
87,5.364360e+02,7.017480e+02,6.128897e-08
88,6.116760e+02,6.760080e+02,1.804086e-15
89,6.126660e+02,6.760080e+02,1.484771e-15
90,6.116760e+02,6.750180e+02,5.169155e-16
91,6.126660e+02,6.750180e+02,2.100995e-15
92,4.394160e+02,6.552180e+02,1.233512e-08
93,4.404060e+02,6.552180e+02,2.279056e-08
94,4.413960e+02,6.552180e+02,2.224028e-08
95,4.364460e+02,6.542280e+02,6.812663e-09
96,4.374360e+02,6.542280e+02,9.148863e-09
97,4.384260e+02,6.542280e+02,1.239632e-08
98,4.394160e+02,6.542280e+02,1.357069e-08
99,4.404060e+02,6.542280e+02,4.647551e-09
100,4.413960e+02,6.542280e+02,1.231168e-08
101,4.354560e+02,6.532380e+02,5.006886e-09
102,4.364460e+02,6.532380e+02,7.050583e-09
103,4.374360e+02,6.532380e+02,7.835855e-09
104,4.384260e+02,6.532380e+02,6.065238e-09
105,4.394160e+02,6.532380e+02,8.039324e-10
106,5.314860e+02,6.532380e+02,6.066007e-07
107,5.324760e+02,6.532380e+02,1.141522e-06
108,5.334660e+02,6.532380e+02,1.205803e-06
109,5.344560e+02,6.532380e+02,1.251448e-06
110,4.354560e+02,6.522480e+02,5.452390e-09
111,4.364460e+02,6.522480e+02,6.918632e-09
112,4.374360e+02,6.522480e+02,3.978903e-09
113,5.304960e+02,6.522480e+02,6.679722e-07
114,5.314860e+02,6.522480e+02,8.731385e-07
115,5.324760e+02,6.522480e+02,9.796847e-07
116,5.334660e+02,6.522480e+02,1.014077e-06
117,5.344560e+02,6.522480e+02,1.008579e-06
118,5.354460e+02,6.522480e+02,9.729906e-07
119,4.354560e+02,6.512580e+02,5.594294e-09
120,4.364460e+02,6.512580e+02,6.547141e-09
121,4.374360e+02,6.512580e+02,6.432818e-09
122,5.295060e+02,6.512580e+02,5.804911e-07
123,5.304960e+02,6.512580e+02,6.779395e-07
124,5.314860e+02,6.512580e+02,7.522743e-07
125,5.324760e+02,6.512580e+02,7.910375e-07
126,5.334660e+02,6.512580e+02,7.930956e-07
127,5.344560e+02,6.512580e+02,7.586517e-07
128,5.354460e+02,6.512580e+02,6.962262e-07
129,5.364360e+02,6.512580e+02,6.230417e-07
130,4.354560e+02,6.502680e+02,5.679489e-09
131,4.364460e+02,6.502680e+02,3.451953e-09
132,4.374360e+02,6.502680e+02,1.190279e-09
133,5.295060e+02,6.502680e+02,5.447593e-07
134,5.304960e+02,6.502680e+02,6.189883e-07
135,5.314860e+02,6.502680e+02,6.661154e-07
136,5.324760e+02,6.502680e+02,6.858298e-07
137,5.334660e+02,6.502680e+02,6.684998e-07
138,5.344560e+02,6.502680e+02,4.951652e-07
139,5.354460e+02,6.502680e+02,3.522511e-07
140,6.027660e+02,6.502680e+02,2.235803e-13
141,6.037560e+02,6.502680e+02,1.858991e-13
142,4.354560e+02,6.492780e+02,5.489182e-09
