index,x,y,flow
0,4.572360e+02,7.373880e+02,3.327606e-04
1,4.582260e+02,7.373880e+02,2.764386e-03
2,4.730760e+02,7.373880e+02,6.628505e-03
3,4.740660e+02,7.373880e+02,2.328382e-02
4,4.750560e+02,7.373880e+02,2.436199e-02
5,4.760460e+02,7.373880e+02,2.139630e-02
6,4.770360e+02,7.373880e+02,6.106274e-03
7,4.928760e+02,7.373880e+02,6.834084e-04
8,5.077260e+02,7.373880e+02,3.001328e-04
9,5.097060e+02,7.373880e+02,1.041337e-03
10,5.106960e+02,7.373880e+02,4.901964e-03
11,5.116860e+02,7.373880e+02,1.214227e-03
12,5.126760e+02,7.373880e+02,4.540779e-02
13,5.136660e+02,7.373880e+02,1.863052e-02
14,5.146560e+02,7.373880e+02,2.083279e-02
15,5.156460e+02,7.373880e+02,1.353593e-02
16,5.166360e+02,7.373880e+02,3.960936e-02
17,5.176260e+02,7.373880e+02,4.575937e-02
18,5.186160e+02,7.373880e+02,6.443811e-02
19,5.196060e+02,7.373880e+02,6.728445e-02
20,5.235660e+02,7.373880e+02,9.902329e-03
21,5.245560e+02,7.373880e+02,6.051320e-02
22,5.255460e+02,7.373880e+02,2.440127e-01
23,5.265360e+02,7.373880e+02,2.004685e-01
24,5.275260e+02,7.373880e+02,7.389419e-02
25,5.285160e+02,7.373880e+02,1.938465e-01
26,5.295060e+02,7.373880e+02,1.961616e-01
27,5.304960e+02,7.373880e+02,7.338303e-02
28,5.314860e+02,7.373880e+02,2.559735e-03
29,5.324760e+02,7.373880e+02,3.733589e-03
30,5.384160e+02,7.373880e+02,2.106585e-03
31,5.394060e+02,7.373880e+02,3.799328e-03
32,5.403960e+02,7.373880e+02,1.648256e-02
33,5.413860e+02,7.373880e+02,2.282452e-02
34,5.423760e+02,7.373880e+02,5.121411e-02
35,5.433660e+02,7.373880e+02,9.080863e-02
36,5.443560e+02,7.373880e+02,8.193814e-02
37,5.453460e+02,7.373880e+02,1.471133e-01
38,5.463360e+02,7.373880e+02,2.550539e-01
39,5.473260e+02,7.373880e+02,2.638310e-01
40,5.483160e+02,7.373880e+02,2.769511e-01
41,5.493060e+02,7.373880e+02,2.096318e-01
42,5.502960e+02,7.373880e+02,1.616976e-02
43,5.562360e+02,7.373880e+02,3.080286e-02
44,4.542660e+02,7.363980e+02,1.922396e-04
45,4.552560e+02,7.363980e+02,1.685821e-03
46,4.562460e+02,7.363980e+02,4.858868e-04
47,4.572360e+02,7.363980e+02,8.941675e-04
48,4.592160e+02,7.363980e+02,2.679099e-04
49,4.730760e+02,7.363980e+02,5.679860e-03
50,4.740660e+02,7.363980e+02,2.745235e-02
51,4.750560e+02,7.363980e+02,2.300990e-02
52,4.760460e+02,7.363980e+02,7.306502e-03
53,4.899060e+02,7.363980e+02,9.913365e-03
54,4.908960e+02,7.363980e+02,5.661812e-03
55,4.918860e+02,7.363980e+02,1.340891e-03
56,4.928760e+02,7.363980e+02,1.337975e-03
57,4.948560e+02,7.363980e+02,2.185193e-03
58,4.958460e+02,7.363980e+02,4.345920e-03
59,4.988160e+02,7.363980e+02,9.373858e-03
60,4.998060e+02,7.363980e+02,1.401280e-02
61,5.067360e+02,7.363980e+02,1.246740e-02
62,5.077260e+02,7.363980e+02,1.430528e-02
63,5.106960e+02,7.363980e+02,5.405525e-02
64,5.116860e+02,7.363980e+02,1.286203e-02
