Speed =, 2527.830416
x,y,flow
457.236000,737.388000,2.101011e-03
458.226000,737.388000,1.745367e-02
473.076000,737.388000,4.183740e-02
474.066000,737.388000,1.469074e-01
475.056000,737.388000,1.535580e-01
476.046000,737.388000,1.346648e-01
477.036000,737.388000,3.838728e-02
492.876000,737.388000,4.014771e-03
507.726000,737.388000,1.389825e-03
509.706000,737.388000,4.670297e-03
510.696000,737.388000,2.165286e-02
511.686000,737.388000,5.301633e-03
512.676000,737.388000,1.962010e-01
513.666000,737.388000,7.957109e-02
514.656000,737.388000,8.798543e-02
515.646000,737.388000,5.648148e-02
516.636000,737.388000,1.626047e-01
517.626000,737.388000,1.837801e-01
518.616000,737.388000,2.537584e-01
519.606000,737.388000,2.575251e-01
523.566000,737.388000,3.606508e-02
524.556000,737.388000,2.192943e-01
525.546000,737.388000,8.793827e-01
526.536000,737.388000,7.192077e-01
527.526000,737.388000,2.641755e-01
528.516000,737.388000,6.908469e-01
529.506000,737.388000,6.960239e-01
530.496000,737.388000,2.590359e-01
531.486000,737.388000,8.993062e-03
532.476000,737.388000,1.304415e-02
538.416000,737.388000,7.221910e-03
539.406000,737.388000,1.292681e-02
540.396000,737.388000,5.576676e-02
541.386000,737.388000,7.690067e-02
542.376000,737.388000,1.719970e-01
543.366000,737.388000,3.045019e-01
544.356000,737.388000,2.744922e-01
545.346000,737.388000,4.925116e-01
546.336000,737.388000,8.533563e-01
547.326000,737.388000,8.824502e-01
548.316000,737.388000,9.260415e-01
549.306000,737.388000,7.008429e-01
550.296000,737.388000,5.404976e-02
556.236000,737.388000,1.028797e-01
454.266000,736.398000,1.213835e-03
455.256000,736.398000,1.064448e-02
456.246000,736.398000,3.067910e-03
457.236000,736.398000,5.645684e-03
459.216000,736.398000,1.691490e-03
473.076000,736.398000,3.584908e-02
474.066000,736.398000,1.731786e-01
475.056000,736.398000,1.450407e-01
476.046000,736.398000,4.600742e-02
489.906000,736.398000,5.967006e-02
490.896000,736.398000,3.387778e-02
491.886000,736.398000,7.967263e-03
492.876000,736.398000,7.877577e-03
494.856000,736.398000,1.243215e-02
495.846000,736.398000,2.430941e-02
