Speed =, 0.002706
x,y,flow
395.500000,640.500000,4.127555e-07
395.500000,639.500000,1.044785e-06
396.500000,637.500000,4.675161e-07
397.500000,637.500000,6.868807e-07
398.500000,637.500000,3.869862e-07
399.500000,637.500000,1.004804e-06
396.500000,636.500000,3.050076e-08
397.500000,636.500000,1.035563e-07
398.500000,636.500000,1.455706e-06
399.500000,636.500000,2.355279e-06
400.500000,636.500000,4.117766e-07
404.500000,636.500000,2.391196e-07
405.500000,636.500000,4.768539e-07
406.500000,636.500000,9.940290e-08
398.500000,635.500000,7.882014e-08
399.500000,635.500000,6.856734e-07
404.500000,635.500000,2.522655e-08
405.500000,635.500000,1.059801e-06
406.500000,635.500000,6.901035e-07
406.500000,633.500000,9.111246e-07
407.500000,633.500000,3.032521e-08
400.500000,632.500000,4.165211e-07
401.500000,632.500000,1.073374e-07
406.500000,632.500000,9.631748e-07
407.500000,632.500000,4.960572e-07
408.500000,632.500000,5.208216e-07
399.500000,631.500000,9.210114e-09
400.500000,631.500000,1.418052e-06
401.500000,631.500000,7.244059e-07
407.500000,631.500000,6.303630e-08
408.500000,631.500000,1.168798e-07
387.500000,629.500000,1.062941e-06
388.500000,629.500000,2.396319e-08
392.500000,629.500000,1.726113e-08
393.500000,629.500000,1.555769e-08
409.500000,629.500000,5.881616e-08
410.500000,629.500000,4.621257e-08
411.500000,629.500000,7.126557e-08
390.500000,628.500000,1.769764e-06
391.500000,628.500000,4.878782e-06
392.500000,628.500000,1.993281e-06
393.500000,628.500000,1.139202e-06
394.500000,628.500000,4.135215e-06
395.500000,628.500000,4.255783e-06
396.500000,628.500000,8.491669e-07
400.500000,628.500000,5.553722e-07
401.500000,628.500000,1.820232e-06
402.500000,628.500000,4.154254e-08
408.500000,628.500000,1.214825e-07
409.500000,628.500000,2.285507e-06
410.500000,628.500000,1.104666e-06
411.500000,628.500000,2.790935e-07
389.500000,627.500000,3.224036e-07
390.500000,627.500000,7.038885e-06
391.500000,627.500000,8.139219e-06
392.500000,627.500000,6.165495e-06
393.500000,627.500000,5.834203e-06
394.500000,627.500000,4.778707e-06
395.500000,627.500000,5.020290e-06
396.500000,627.500000,1.075664e-06
400.500000,627.500000,1.708854e-07
401.500000,627.500000,3.145261e-07
402.500000,627.500000,2.542302e-07
403.500000,627.500000,2.806259e-07
408.500000,627.500000,4.722422e-07
409.500000,627.500000,2.332752e-06
410.500000,627.500000,2.420856e-06
411.500000,627.500000,8.250947e-07
412.500000,627.500000,7.195261e-08
385.500000,626.500000,2.016437e-06
386.500000,626.500000,1.216932e-07
390.500000,626.500000,5.172027e-06
391.500000,626.500000,8.369030e-06
392.500000,626.500000,4.161564e-06
393.500000,626.500000,5.135571e-06
394.500000,626.500000,3.303868e-06
395.500000,626.500000,1.896435e-07
396.500000,626.500000,2.573465e-06
408.500000,626.500000,2.453213e-08
409.500000,626.500000,1.630063e-06
410.500000,626.500000,2.029081e-06
411.500000,626.500000,1.439324e-06
412.500000,626.500000,5.894680e-07
413.500000,626.500000,8.470035e-08
389.500000,625.500000,2.626672e-08
390.500000,625.500000,4.916047e-06
391.500000,625.500000,7.687510e-06
392.500000,625.500000,6.884635e-06
393.500000,625.500000,6.995781e-06
394.500000,625.500000,6.211063e-06
395.500000,625.500000,2.657237e-06
396.500000,625.500000,1.001055e-06
397.500000,625.500000,1.112917e-07
407.500000,625.500000,3.751836e-08
408.500000,625.500000,1.373748e-06
409.500000,625.500000,8.165531e-07
410.500000,625.500000,2.594477e-06
411.500000,625.500000,6.106457e-07
412.500000,625.500000,1.737191e-06
413.500000,625.500000,2.159288e-07
389.500000,624.500000,7.233225e-07
390.500000,624.500000,4.365184e-07
391.500000,624.500000,5.789035e-06
392.500000,624.500000,3.889034e-06
393.500000,624.500000,7.098804e-06
394.500000,624.500000,6.651935e-06
395.500000,624.500000,4.883344e-06
407.500000,624.500000,2.636453e-07
408.500000,624.500000,6.306348e-07
409.500000,624.500000,2.843763e-07
412.500000,624.500000,1.033546e-07
413.500000,624.500000,7.171723e-07
388.500000,623.500000,2.992098e-08
389.500000,623.500000,4.081728e-07
390.500000,623.500000,5.559404e-06
391.500000,623.500000,4.499137e-06
392.500000,623.500000,5.464003e-06
393.500000,623.500000,7.734814e-06
394.500000,623.500000,6.962311e-06
395.500000,623.500000,5.816191e-06
396.500000,623.500000,7.252402e-07
397.500000,623.500000,4.937960e-07
410.500000,623.500000,2.883837e-07
411.500000,623.500000,1.259297e-06
412.500000,623.500000,1.711352e-06
388.500000,622.500000,6.226899e-06
389.500000,622.500000,7.164407e-06
390.500000,622.500000,9.478752e-06
391.500000,622.500000,6.422269e-06
392.500000,622.500000,5.930228e-06
393.500000,622.500000,2.822028e-06
394.500000,622.500000,6.546394e-06
395.500000,622.500000,1.943245e-06
410.500000,622.500000,1.833901e-06
411.500000,622.500000,2.367764e-06
412.500000,622.500000,1.450250e-06
413.500000,622.500000,1.138476e-07
387.500000,621.500000,2.318778e-06
388.500000,621.500000,1.198475e-05
389.500000,621.500000,7.841855e-06
390.500000,621.500000,8.924330e-06
391.500000,621.500000,9.537520e-06
392.500000,621.500000,6.111188e-06
393.500000,621.500000,7.386094e-06
394.500000,621.500000,7.132151e-06
395.500000,621.500000,3.369453e-06
396.500000,621.500000,4.352754e-07
408.500000,621.500000,4.964378e-07
409.500000,621.500000,2.269395e-06
410.500000,621.500000,3.572505e-06
411.500000,621.500000,2.282761e-06
412.500000,621.500000,1.672142e-07
387.500000,620.500000,2.059357e-06
388.500000,620.500000,1.056595e-05
389.500000,620.500000,5.706403e-06
390.500000,620.500000,1.139666e-06
391.500000,620.500000,8.866547e-06
392.500000,620.500000,9.022835e-06
393.500000,620.500000,8.584373e-06
394.500000,620.500000,8.630332e-06
395.500000,620.500000,2.874407e-06
396.500000,620.500000,6.272947e-07
398.500000,620.500000,1.290034e-06
399.500000,620.500000,1.186284e-06
408.500000,620.500000,7.886692e-07
409.500000,620.500000,7.138958e-07
410.500000,620.500000,7.238086e-07
411.500000,620.500000,5.569475e-08
388.500000,619.500000,4.037768e-07
389.500000,619.500000,1.745082e-06
390.500000,619.500000,7.645224e-06
