index,x,y,progress
0,3.955000e+02,6.405000e+02,1.538371e-09
1,3.955000e+02,6.395000e+02,1.680668e-09
2,3.965000e+02,6.375000e+02,1.952795e-09
3,3.975000e+02,6.375000e+02,2.032371e-09
4,3.985000e+02,6.375000e+02,2.098352e-09
5,3.995000e+02,6.375000e+02,2.156151e-09
6,3.965000e+02,6.365000e+02,1.979933e-09
7,3.975000e+02,6.365000e+02,2.053498e-09
8,3.985000e+02,6.365000e+02,2.115314e-09
9,3.995000e+02,6.365000e+02,2.170949e-09
10,4.005000e+02,6.365000e+02,2.240568e-09
11,4.045000e+02,6.365000e+02,2.833938e-09
12,4.055000e+02,6.365000e+02,2.950811e-09
13,4.065000e+02,6.365000e+02,3.040395e-09
14,3.985000e+02,6.355000e+02,2.119313e-09
15,3.995000e+02,6.355000e+02,2.181211e-09
16,4.045000e+02,6.355000e+02,2.877088e-09
17,4.055000e+02,6.355000e+02,2.999351e-09
18,4.065000e+02,6.355000e+02,3.094165e-09
19,4.065000e+02,6.335000e+02,3.240178e-09
20,4.075000e+02,6.335000e+02,3.344885e-09
21,4.005000e+02,6.325000e+02,2.270014e-09
22,4.015000e+02,6.325000e+02,2.401023e-09
23,4.065000e+02,6.325000e+02,3.315988e-09
24,4.075000e+02,6.325000e+02,3.431274e-09
25,4.085000e+02,6.325000e+02,3.534691e-09
26,3.995000e+02,6.315000e+02,2.135431e-09
27,4.005000e+02,6.315000e+02,2.252130e-09
28,4.015000e+02,6.315000e+02,2.389574e-09
29,4.075000e+02,6.315000e+02,3.524183e-09
30,4.085000e+02,6.315000e+02,3.628818e-09
31,3.875000e+02,6.295000e+02,1.327157e-09
32,3.885000e+02,6.295000e+02,1.508378e-09
33,3.925000e+02,6.295000e+02,1.768645e-09
34,3.935000e+02,6.295000e+02,1.791313e-09
35,4.095000e+02,6.295000e+02,3.849298e-09
36,4.105000e+02,6.295000e+02,3.884874e-09
37,4.115000e+02,6.295000e+02,3.909529e-09
38,3.905000e+02,6.285000e+02,1.713974e-09
39,3.915000e+02,6.285000e+02,1.750250e-09
40,3.925000e+02,6.285000e+02,1.774915e-09
41,3.935000e+02,6.285000e+02,1.794557e-09
42,3.945000e+02,6.285000e+02,1.812079e-09
43,3.955000e+02,6.285000e+02,1.830366e-09
44,3.965000e+02,6.285000e+02,1.854461e-09
45,4.005000e+02,6.285000e+02,2.184167e-09
46,4.015000e+02,6.285000e+02,2.352194e-09
47,4.025000e+02,6.285000e+02,2.568997e-09
48,4.085000e+02,6.285000e+02,3.842809e-09
49,4.095000e+02,6.285000e+02,3.889029e-09
50,4.105000e+02,6.285000e+02,3.917097e-09
51,4.115000e+02,6.285000e+02,3.937475e-09
52,3.895000e+02,6.275000e+02,1.671345e-09
53,3.905000e+02,6.275000e+02,1.726358e-09
54,3.915000e+02,6.275000e+02,1.758408e-09
55,3.925000e+02,6.275000e+02,1.780461e-09
56,3.935000e+02,6.275000e+02,1.798046e-09
57,3.945000e+02,6.275000e+02,1.813745e-09
58,3.955000e+02,6.275000e+02,1.830194e-09
59,3.965000e+02,6.275000e+02,1.851575e-09
60,4.005000e+02,6.275000e+02,2.165103e-09
61,4.015000e+02,6.275000e+02,2.343665e-09
62,4.025000e+02,6.275000e+02,2.578042e-09
63,4.035000e+02,6.275000e+02,2.872120e-09
64,4.085000e+02,6.275000e+02,3.877950e-09
65,4.095000e+02,6.275000e+02,3.917896e-09
66,4.105000e+02,6.275000e+02,3.942554e-09
67,4.115000e+02,6.275000e+02,3.961302e-09
68,4.125000e+02,6.275000e+02,3.977384e-09
69,3.855000e+02,6.265000e+02,9.170164e-10
70,3.865000e+02,6.265000e+02,1.208661e-09
71,3.905000e+02,6.265000e+02,1.736245e-09
72,3.915000e+02,6.265000e+02,1.765840e-09
73,3.925000e+02,6.265000e+02,1.786303e-09
74,3.935000e+02,6.265000e+02,1.802580e-09
75,3.945000e+02,6.265000e+02,1.817097e-09
76,3.955000e+02,6.265000e+02,1.832490e-09
77,3.965000e+02,6.265000e+02,1.852361e-09
78,4.085000e+02,6.265000e+02,3.906660e-09
79,4.095000e+02,6.265000e+02,3.943885e-09
80,4.105000e+02,6.265000e+02,3.967336e-09
81,4.115000e+02,6.265000e+02,3.985497e-09
82,4.125000e+02,6.265000e+02,4.001375e-09
83,4.135000e+02,6.265000e+02,4.015216e-09
84,3.895000e+02,6.255000e+02,1.698231e-09
85,3.905000e+02,6.255000e+02,1.745292e-09
86,3.915000e+02,6.255000e+02,1.773453e-09
87,3.925000e+02,6.255000e+02,1.793016e-09
